,segformer/segformer_mit-b4_8xb1-160k_cityscapes-1024x1024.py/non-tta,segformer/segformer_mit-b4_8xb1-160k_cityscapes-1024x1024.py/tta,ddrnet/ddrnet_23_in1k-pre_2xb6-120k_cityscapes-1024x1024.py/non-tta,ddrnet/ddrnet_23_in1k-pre_2xb6-120k_cityscapes-1024x1024.py/tta,mask2former/mask2former_swin-l-in22k-384x384-pre_8xb2-90k_cityscapes-512x1024.py/non-tta,mask2former/mask2former_swin-l-in22k-384x384-pre_8xb2-90k_cityscapes-512x1024.py/tta,pointrend/pointrend_r101_4xb2-80k_cityscapes-512x1024.py/non-tta,pointrend/pointrend_r101_4xb2-80k_cityscapes-512x1024.py/tta,knet/knet-s3_swin-t_upernet_8xb2-adamw-80k_ade20k-512x512.py/non-tta,knet/knet-s3_swin-t_upernet_8xb2-adamw-80k_ade20k-512x512.py/tta
1,0.3187877833843231,0.38546451926231384,0.3054541051387787,,0.40729719400405884,0.42762333154678345,0.26893946528434753,0.31852173805236816,0.374193012714386,0.41343602538108826
3,0.5042713284492493,0.5619240999221802,0.4657016694545746,,0.5872447490692139,0.6052688956260681,0.422776460647583,0.47274523973464966,0.5404218435287476,0.5706408619880676
5,0.6019492149353027,0.6496638059616089,0.5510736703872681,,0.6740314364433289,0.6886641383171082,0.5075221061706543,0.5555142760276794,0.6201421022415161,0.6450673341751099
10,0.721521258354187,0.7543513178825378,0.6567599773406982,,0.7735587954521179,0.7826890349388123,0.6177684664726257,0.662569522857666,0.713006854057312,0.7312695980072021
